==PROF== Connected to process 3010338 (/home/yufan/tvm-ansor-v0.7/testbed-2000-profile/build/Resnet9)
warmup....

===========================================================
Input size: 1 X 256 X 16 X 16
Kernel size: 256 X 256 X 3 X 3
Output size: 1 X 256 X 14 X 14
flops: 0.23121
Time is 0.00000 
Gflops inf 
===========================================================
==PROF== Disconnected from process 3010338
"ID","Process ID","Process Name","Host Name","Kernel Name","Kernel Time","Context","Stream","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description"
"0","3010338","Resnet9","127.0.0.1","default_function_kernel0","2022-Jun-13 12:43:03","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (dram__cycles_active.avg.pct_of_peak_sustained_elapsed)","%","4.45",
"0","3010338","Resnet9","127.0.0.1","default_function_kernel0","2022-Jun-13 12:43:03","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (fbpa__dram_sectors.avg.pct_of_peak_sustained_elapsed)","%","2.94",
"0","3010338","Resnet9","127.0.0.1","default_function_kernel0","2022-Jun-13 12:43:03","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (l1tex__data_bank_reads.avg.pct_of_peak_sustained_elapsed)","%","5.57",
"0","3010338","Resnet9","127.0.0.1","default_function_kernel0","2022-Jun-13 12:43:03","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (l1tex__data_bank_writes.avg.pct_of_peak_sustained_elapsed)","%","1.97",
"0","3010338","Resnet9","127.0.0.1","default_function_kernel0","2022-Jun-13 12:43:03","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (l1tex__data_pipe_lsu_wavefronts.avg.pct_of_peak_sustained_elapsed)","%","37.16",
"0","3010338","Resnet9","127.0.0.1","default_function_kernel0","2022-Jun-13 12:43:03","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (l1tex__data_pipe_tex_wavefronts.avg.pct_of_peak_sustained_elapsed)","%","0",
"0","3010338","Resnet9","127.0.0.1","default_function_kernel0","2022-Jun-13 12:43:03","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (l1tex__f_wavefronts.avg.pct_of_peak_sustained_elapsed)","%","0.00",
"0","3010338","Resnet9","127.0.0.1","default_function_kernel0","2022-Jun-13 12:43:03","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (l1tex__lsu_writeback_active.avg.pct_of_peak_sustained_elapsed)","%","26.48",
"0","3010338","Resnet9","127.0.0.1","default_function_kernel0","2022-Jun-13 12:43:03","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (l1tex__lsuin_requests.avg.pct_of_peak_sustained_elapsed)","%","35.14",
"0","3010338","Resnet9","127.0.0.1","default_function_kernel0","2022-Jun-13 12:43:03","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (l1tex__m_l1tex2xbar_req_cycles_active.avg.pct_of_peak_sustained_elapsed)","%","1.90",
"0","3010338","Resnet9","127.0.0.1","default_function_kernel0","2022-Jun-13 12:43:03","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (l1tex__m_xbar2l1tex_read_sectors.avg.pct_of_peak_sustained_elapsed)","%","6.90",
"0","3010338","Resnet9","127.0.0.1","default_function_kernel0","2022-Jun-13 12:43:03","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (l1tex__tex_writeback_active.avg.pct_of_peak_sustained_elapsed)","%","0",
"0","3010338","Resnet9","127.0.0.1","default_function_kernel0","2022-Jun-13 12:43:03","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (l1tex__texin_sm2tex_req_cycles_active.avg.pct_of_peak_sustained_elapsed)","%","0.10",
"0","3010338","Resnet9","127.0.0.1","default_function_kernel0","2022-Jun-13 12:43:03","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (lts__d_atomic_input_cycles_active.avg.pct_of_peak_sustained_elapsed)","%","0",
"0","3010338","Resnet9","127.0.0.1","default_function_kernel0","2022-Jun-13 12:43:03","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (lts__d_sectors.avg.pct_of_peak_sustained_elapsed)","%","3.18",
"0","3010338","Resnet9","127.0.0.1","default_function_kernel0","2022-Jun-13 12:43:03","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (lts__d_sectors_fill_device.avg.pct_of_peak_sustained_elapsed)","%","1.58",
"0","3010338","Resnet9","127.0.0.1","default_function_kernel0","2022-Jun-13 12:43:03","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (lts__d_sectors_fill_sysmem.avg.pct_of_peak_sustained_elapsed)","%","0",
"0","3010338","Resnet9","127.0.0.1","default_function_kernel0","2022-Jun-13 12:43:03","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (lts__lts2xbar_cycles_active.avg.pct_of_peak_sustained_elapsed)","%","10.66",
"0","3010338","Resnet9","127.0.0.1","default_function_kernel0","2022-Jun-13 12:43:03","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (lts__t_sectors.avg.pct_of_peak_sustained_elapsed)","%","11.56",
"0","3010338","Resnet9","127.0.0.1","default_function_kernel0","2022-Jun-13 12:43:03","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (lts__t_tag_requests.avg.pct_of_peak_sustained_elapsed)","%","5.10",
"0","3010338","Resnet9","127.0.0.1","default_function_kernel0","2022-Jun-13 12:43:03","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (lts__xbar2lts_cycles_active.avg.pct_of_peak_sustained_elapsed)","%","4.20",
"0","3010338","Resnet9","127.0.0.1","default_function_kernel0","2022-Jun-13 12:43:03","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (idc__request_cycles_active.avg.pct_of_peak_sustained_elapsed)","%","0",
"0","3010338","Resnet9","127.0.0.1","default_function_kernel0","2022-Jun-13 12:43:03","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (sm__inst_executed.avg.pct_of_peak_sustained_elapsed)","%","20.58",
"0","3010338","Resnet9","127.0.0.1","default_function_kernel0","2022-Jun-13 12:43:03","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (sm__inst_executed_pipe_adu.avg.pct_of_peak_sustained_elapsed)","%","0.40",
"0","3010338","Resnet9","127.0.0.1","default_function_kernel0","2022-Jun-13 12:43:03","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (sm__inst_executed_pipe_cbu_pred_on_any.avg.pct_of_peak_sustained_elapsed)","%","0.00",
"0","3010338","Resnet9","127.0.0.1","default_function_kernel0","2022-Jun-13 12:43:03","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (sm__inst_executed_pipe_fp16.avg.pct_of_peak_sustained_elapsed)","%","0",
"0","3010338","Resnet9","127.0.0.1","default_function_kernel0","2022-Jun-13 12:43:03","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (sm__inst_executed_pipe_ipa.avg.pct_of_peak_sustained_elapsed)","%","0",
"0","3010338","Resnet9","127.0.0.1","default_function_kernel0","2022-Jun-13 12:43:03","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_elapsed)","%","35.14",
"0","3010338","Resnet9","127.0.0.1","default_function_kernel0","2022-Jun-13 12:43:03","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (sm__inst_executed_pipe_tex.avg.pct_of_peak_sustained_elapsed)","%","0",
"0","3010338","Resnet9","127.0.0.1","default_function_kernel0","2022-Jun-13 12:43:03","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (sm__inst_executed_pipe_uniform.avg.pct_of_peak_sustained_elapsed)","%","0",
"0","3010338","Resnet9","127.0.0.1","default_function_kernel0","2022-Jun-13 12:43:03","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (sm__inst_executed_pipe_xu.avg.pct_of_peak_sustained_elapsed)","%","0",
"0","3010338","Resnet9","127.0.0.1","default_function_kernel0","2022-Jun-13 12:43:03","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (sm__issue_active.avg.pct_of_peak_sustained_elapsed)","%","20.58",
"0","3010338","Resnet9","127.0.0.1","default_function_kernel0","2022-Jun-13 12:43:03","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (sm__mio2rf_writeback_active.avg.pct_of_peak_sustained_elapsed)","%","13.16",
"0","3010338","Resnet9","127.0.0.1","default_function_kernel0","2022-Jun-13 12:43:03","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (sm__mio_inst_issued.avg.pct_of_peak_sustained_elapsed)","%","11.85",
"0","3010338","Resnet9","127.0.0.1","default_function_kernel0","2022-Jun-13 12:43:03","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (sm__mio_pq_read_cycles_active.avg.pct_of_peak_sustained_elapsed)","%","2.90",
"0","3010338","Resnet9","127.0.0.1","default_function_kernel0","2022-Jun-13 12:43:03","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (sm__mio_pq_write_cycles_active.avg.pct_of_peak_sustained_elapsed)","%","2.90",
"0","3010338","Resnet9","127.0.0.1","default_function_kernel0","2022-Jun-13 12:43:03","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (sm__pipe_alu_cycles_active.avg.pct_of_peak_sustained_elapsed)","%","2.30",
"0","3010338","Resnet9","127.0.0.1","default_function_kernel0","2022-Jun-13 12:43:03","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (sm__pipe_fma_cycles_active.avg.pct_of_peak_sustained_elapsed)","%","29.91",
"0","3010338","Resnet9","127.0.0.1","default_function_kernel0","2022-Jun-13 12:43:03","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (sm__pipe_fp64_cycles_active.avg.pct_of_peak_sustained_elapsed)","%","0",
"0","3010338","Resnet9","127.0.0.1","default_function_kernel0","2022-Jun-13 12:43:03","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (sm__pipe_shared_cycles_active.avg.pct_of_peak_sustained_elapsed)","%","0",
"0","3010338","Resnet9","127.0.0.1","default_function_kernel0","2022-Jun-13 12:43:03","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed)","%","0",
"0","3010338","Resnet9","127.0.0.1","default_function_kernel0","2022-Jun-13 12:43:03","1","7","GPU Speed Of Light","DRAM Frequency","cycle/second","6,811,695,906.43",
